Squadra,Giornata,PPDA,Casa/Trasferta,Anno
Verona,1,15.333333333333334,Casa,2024-25
Verona,2,19.375,Casa,2024-25
Verona,3,13.61904761904762,Trasferta,2024-25
Verona,4,18.764705882352946,Trasferta,2024-25
Verona,5,33.46153846153846,Casa,2024-25
Verona,6,11.09375,Trasferta,2024-25
Verona,7,8.869565217391305,Casa,2024-25
Verona,8,10.090909090909092,Casa,2024-25
Verona,9,18.363636363636363,Trasferta,2024-25
Verona,10,12.958333333333334,Trasferta,2024-25
Verona,11,13.782608695652174,Casa,2024-25
Verona,12,10.636363636363637,Trasferta,2024-25
Verona,13,32.8235294117647,Casa,2024-25
Verona,14,13.090909090909092,Trasferta,2024-25
Verona,15,12.4,Casa,2024-25
Verona,16,10.73913043478261,Trasferta,2024-25
Verona,17,10.22222222222222,Casa,2024-25
Verona,18,8.923076923076923,Trasferta,2024-25
Verona,19,9.807692307692308,Casa,2024-25
Verona,20,50.375,Trasferta,2024-25
Verona,21,14.964285714285714,Casa,2024-25
Verona,22,5.470588235294118,Trasferta,2024-25
Verona,23,8.96875,Trasferta,2024-25
Verona,24,22.529411764705884,Casa,2024-25
Verona,25,13.523809523809524,Trasferta,2024-25
Verona,26,10.620689655172416,Casa,2024-25
Verona,27,40.25,Trasferta,2024-25
Verona,28,12.185185185185183,Casa,2024-25
Verona,29,14.38095238095238,Trasferta,2024-25
Verona,30,14.0,Casa,2024-25
Roma,1,10.68421052631579,Trasferta,2024-25
Roma,2,5.85,Casa,2024-25
Roma,3,10.714285714285714,Trasferta,2024-25
Roma,4,16.46153846153846,Trasferta,2024-25
Roma,5,8.91304347826087,Casa,2024-25
Roma,6,7.588235294117647,Casa,2024-25
Roma,7,5.862068965517241,Trasferta,2024-25
Roma,8,13.68421052631579,Casa,2024-25
Roma,9,7.846153846153846,Trasferta,2024-25
Roma,10,13.9,Casa,2024-25
Roma,11,5.7407407407407405,Trasferta,2024-25
Roma,12,9.08,Casa,2024-25
Roma,13,14.428571428571429,Trasferta,2024-25
Roma,14,9.344827586206897,Casa,2024-25
Roma,15,7.758620689655173,Casa,2024-25
Roma,16,8.55,Trasferta,2024-25
Roma,17,10.8,Casa,2024-25
Roma,18,24.875,Trasferta,2024-25
Roma,19,28.1,Casa,2024-25
Roma,20,16.692307692307693,Trasferta,2024-25
Roma,21,14.478260869565217,Casa,2024-25
Roma,22,15.235294117647058,Trasferta,2024-25
Roma,23,20.928571428571427,Casa,2024-25
Roma,24,8.3,Trasferta,2024-25
Roma,25,9.294117647058824,Trasferta,2024-25
Roma,26,14.736842105263158,Casa,2024-25
Roma,27,13.703703703703704,Casa,2024-25
Roma,28,13.235294117647058,Trasferta,2024-25
Roma,29,27.22222222222222,Casa,2024-25
Roma,30,9.55,Trasferta,2024-25
Lazio,1,5.884615384615385,Casa,2024-25
Lazio,2,6.2,Trasferta,2024-25
Lazio,3,13.571428571428571,Casa,2024-25
Lazio,4,10.884615384615383,Casa,2024-25
Lazio,5,10.727272727272728,Trasferta,2024-25
Lazio,6,10.724137931034482,Trasferta,2024-25
Lazio,7,5.266666666666667,Casa,2024-25
Lazio,8,23.266666666666666,Trasferta,2024-25
Lazio,9,8.461538461538462,Casa,2024-25
Lazio,10,10.041666666666666,Trasferta,2024-25
Lazio,11,9.28,Casa,2024-25
Lazio,12,18.22222222222222,Trasferta,2024-25
Lazio,13,5.166666666666667,Casa,2024-25
Lazio,14,4.25,Trasferta,2024-25
Lazio,15,20.8125,Trasferta,2024-25
Lazio,16,14.565217391304348,Casa,2024-25
Lazio,17,9.318181818181818,Trasferta,2024-25
Lazio,18,16.36842105263158,Casa,2024-25
Lazio,19,9.095238095238097,Trasferta,2024-25
Lazio,20,10.461538461538462,Casa,2024-25
Lazio,21,10.4,Trasferta,2024-25
Lazio,22,6.739130434782608,Casa,2024-25
Lazio,23,16.818181818181817,Trasferta,2024-25
Lazio,24,10.956521739130435,Casa,2024-25
Lazio,25,16.176470588235293,Casa,2024-25
Lazio,26,8.526315789473685,Trasferta,2024-25
Lazio,27,21.0,Trasferta,2024-25
Lazio,28,19.133333333333333,Casa,2024-25
Lazio,29,20.066666666666663,Trasferta,2024-25
Lazio,30,9.545454545454543,Casa,2024-25
Bologna,1,4.045454545454546,Casa,2024-25
Bologna,2,6.03125,Trasferta,2024-25
Bologna,3,4.774193548387097,Casa,2024-25
Bologna,4,9.52,Trasferta,2024-25
Bologna,5,8.266666666666667,Trasferta,2024-25
Bologna,6,13.789473684210526,Casa,2024-25
Bologna,7,6.166666666666667,Casa,2024-25
Bologna,8,10.23076923076923,Trasferta,2024-25
Bologna,9,9.478260869565217,Trasferta,2024-25
Bologna,10,4.291666666666667,Casa,2024-25
Bologna,11,8.875,Trasferta,2024-25
Bologna,12,20.944444444444443,Trasferta,2024-25
Bologna,13,4.7,Casa,2024-25
Bologna,14,7.852941176470588,Trasferta,2024-25
Bologna,15,6.115384615384615,Casa,2024-25
Bologna,16,8.32,Trasferta,2024-25
Bologna,17,6.352941176470588,Casa,2024-25
Bologna,18,13.65,Casa,2024-25
Bologna,19,9.576923076923077,Trasferta,2024-25
Bologna,20,6.605263157894737,Casa,2024-25
Bologna,21,6.157894736842105,Trasferta,2024-25
Bologna,22,5.057692307692308,Casa,2024-25
Bologna,23,6.208333333333333,Trasferta,2024-25
Bologna,24,11.666666666666666,Casa,2024-25
Bologna,25,3.321428571428572,Trasferta,2024-25
Bologna,26,7.222222222222222,Casa,2024-25
Bologna,27,8.05,Casa,2024-25
Bologna,28,4.7407407407407405,Trasferta,2024-25
Bologna,29,9.516129032258064,Casa,2024-25
Bologna,30,5.8,Trasferta,2024-25
Juventus,1,15.25,Casa,2024-25
Juventus,2,12.235294117647058,Trasferta,2024-25
Juventus,3,16.58823529411765,Casa,2024-25
Juventus,4,13.785714285714286,Trasferta,2024-25
Juventus,5,8.909090909090908,Casa,2024-25
Juventus,6,9.428571428571429,Trasferta,2024-25
Juventus,7,6.666666666666667,Casa,2024-25
Juventus,8,7.5,Casa,2024-25
Juventus,9,16.266666666666666,Trasferta,2024-25
Juventus,10,11.3,Casa,2024-25
Juventus,11,8.227272727272727,Trasferta,2024-25
Juventus,12,15.6,Casa,2024-25
Juventus,13,12.3,Trasferta,2024-25
Juventus,14,12.052631578947368,Trasferta,2024-25
Juventus,15,6.888888888888889,Casa,2024-25
Juventus,16,11.6875,Casa,2024-25
Juventus,17,9.64,Trasferta,2024-25
Juventus,18,7.190476190476191,Casa,2024-25
Juventus,19,12.333333333333334,Trasferta,2024-25
Juventus,20,16.545454545454547,Trasferta,2024-25
Juventus,21,5.6,Casa,2024-25
Juventus,22,9.96,Trasferta,2024-25
Juventus,23,5.266666666666667,Casa,2024-25
Juventus,24,6.257142857142857,Trasferta,2024-25
Juventus,25,11.925925925925926,Casa,2024-25
Juventus,26,7.791666666666667,Trasferta,2024-25
Juventus,27,6.470588235294118,Casa,2024-25
Juventus,28,8.434782608695652,Casa,2024-25
Juventus,29,10.947368421052632,Trasferta,2024-25
Juventus,30,8.866666666666667,Casa,2024-25
Udinese,1,23.714285714285715,Trasferta,2024-25
Udinese,2,11.217391304347826,Casa,2024-25
Udinese,3,9.464285714285714,Casa,2024-25
Udinese,4,12.61904761904762,Trasferta,2024-25
Udinese,5,19.823529411764707,Trasferta,2024-25
Udinese,6,18.904761904761905,Casa,2024-25
Udinese,7,5.72972972972973,Casa,2024-25
Udinese,8,11.105263157894736,Trasferta,2024-25
Udinese,9,7.84,Casa,2024-25
Udinese,10,12.0,Trasferta,2024-25
Udinese,11,21.33333333333333,Casa,2024-25
Udinese,12,8.592592592592593,Trasferta,2024-25
Udinese,13,7.809523809523809,Trasferta,2024-25
Udinese,14,17.529411764705884,Casa,2024-25
Udinese,15,17.3125,Trasferta,2024-25
Udinese,16,15.8,Casa,2024-25
Udinese,17,13.75,Trasferta,2024-25
Udinese,18,11.541666666666666,Casa,2024-25
Udinese,19,5.884615384615385,Trasferta,2024-25
Udinese,20,14.8,Casa,2024-25
Udinese,21,6.918918918918919,Trasferta,2024-25
Udinese,22,13.545454545454543,Casa,2024-25
Udinese,23,5.033333333333333,Casa,2024-25
Udinese,24,33.6,Trasferta,2024-25
Udinese,25,7.230769230769231,Casa,2024-25
Udinese,26,9.318181818181818,Trasferta,2024-25
Udinese,27,16.545454545454547,Casa,2024-25
Udinese,28,21.916666666666668,Trasferta,2024-25
Udinese,29,5.458333333333333,Casa,2024-25
Udinese,30,19.38888888888889,Trasferta,2024-25
Genoa,1,18.73333333333333,Casa,2024-25
Genoa,2,15.916666666666666,Trasferta,2024-25
Genoa,3,12.357142857142858,Casa,2024-25
Genoa,4,8.571428571428571,Casa,2024-25
Genoa,5,8.208333333333334,Trasferta,2024-25
Genoa,6,20.473684210526315,Casa,2024-25
Genoa,7,15.61111111111111,Trasferta,2024-25
Genoa,8,9.785714285714286,Casa,2024-25
Genoa,9,24.857142857142858,Trasferta,2024-25
Genoa,10,13.681818181818182,Casa,2024-25
Genoa,11,8.884615384615385,Trasferta,2024-25
Genoa,12,9.74074074074074,Casa,2024-25
Genoa,13,10.863636363636363,Casa,2024-25
Genoa,14,7.264705882352941,Trasferta,2024-25
Genoa,15,11.333333333333334,Casa,2024-25
Genoa,16,11.923076923076923,Trasferta,2024-25
Genoa,17,14.703703703703704,Casa,2024-25
Genoa,18,10.84,Trasferta,2024-25
Genoa,19,11.961538461538462,Trasferta,2024-25
Genoa,20,6.769230769230769,Casa,2024-25
Genoa,21,21.5,Trasferta,2024-25
Genoa,22,6.142857142857143,Casa,2024-25
Genoa,23,11.285714285714286,Trasferta,2024-25
Genoa,24,12.391304347826088,Trasferta,2024-25
Genoa,25,4.555555555555555,Casa,2024-25
Genoa,26,13.583333333333334,Trasferta,2024-25
Genoa,27,6.133333333333334,Casa,2024-25
Genoa,28,7.48,Trasferta,2024-25
Genoa,29,10.958333333333334,Casa,2024-25
Genoa,30,7.59375,Trasferta,2024-25
Napoli,1,6.227272727272728,Trasferta,2024-25
Napoli,2,19.125,Casa,2024-25
Napoli,3,13.263157894736842,Casa,2024-25
Napoli,4,10.666666666666666,Trasferta,2024-25
Napoli,5,16.071428571428573,Trasferta,2024-25
Napoli,6,12.884615384615383,Casa,2024-25
Napoli,7,17.75,Casa,2024-25
Napoli,8,11.80952380952381,Trasferta,2024-25
Napoli,9,6.9523809523809526,Casa,2024-25
Napoli,10,18.41176470588235,Trasferta,2024-25
Napoli,11,12.615384615384617,Casa,2024-25
